,purebred,age_upon_intake,sterilized_upon_intake,time_at_shelter,age_upon_outcome,sterilized_upon_outcome,is_dog,is_male,breed1_ec,breed2_ec,col1_ec,col2_ec,in_type_ec,in_cond_ec,out_type_ec
2902,False,0,False,4,0.0,True,True,False,6,8,2,0,0,0,1
2903,False,0,False,8,0.0,True,True,False,1,0,5,3,0,0,1
2904,False,2,True,128,3.0,True,True,True,40,0,1,1,0,0,1
2905,True,2,False,4,2.0,True,True,False,10,0,2,0,0,0,1
2906,False,0,False,5,0.0,True,False,False,91,79,3,0,0,0,1
2907,False,6,True,3,6.0,True,False,False,4,0,4,0,1,0,0
2908,False,0,True,0,0.0,True,True,True,72,17,1,3,0,0,0
2909,False,1,True,5,1.0,True,True,True,58,0,2,0,0,0,0
2910,False,5,True,0,5.0,True,True,True,33,0,5,2,0,0,0
2911,False,0,False,4,0.0,True,True,True,9,0,5,0,0,2,1
2912,False,1,True,5,1.0,True,False,False,15,0,3,0,0,0,1
2913,False,2,False,12,2.0,False,True,True,1,0,1,3,2,0,0
2914,True,3,True,1,3.0,True,True,True,95,0,1,3,0,0,0
2915,False,0,False,3,0.0,False,True,True,67,0,5,3,1,2,4
2916,False,1,False,29,1.0,True,True,True,37,3,5,2,0,0,1
2917,False,2,False,0,2.0,False,False,False,4,0,3,0,0,0,3
2918,False,4,True,28,4.0,True,True,True,61,0,5,2,0,0,1
2919,False,8,False,4,8.0,True,True,True,42,0,1,1,0,0,1
2920,False,1,True,4,1.0,True,True,True,9,74,1,3,0,0,1
2921,False,10,True,1,10.0,True,True,False,6,0,1,3,1,0,1
2922,False,2,False,2,2.0,True,True,True,17,0,3,0,0,0,0
2923,False,0,False,5,0.0,True,False,True,4,0,1,3,0,0,1
2924,False,2,True,4,2.0,True,True,True,51,0,5,3,0,0,1
2925,False,5,True,1,5.0,True,True,True,34,0,1,3,0,0,0
2926,False,1,False,13,1.0,True,False,True,4,0,2,0,0,0,1
2927,False,4,True,0,4.0,True,True,False,24,0,4,3,2,0,0
2928,False,0,False,6,0.0,True,True,True,22,0,1,1,0,0,1
2929,False,9,True,17,9.0,True,True,True,3,0,2,0,0,0,1
2930,False,5,True,9,5.0,True,True,True,1,0,2,0,2,0,0
2931,False,1,False,5,1.0,True,False,False,4,0,3,0,0,0,3
2932,False,0,True,4,0.0,True,True,False,6,0,1,3,0,0,3
2933,False,1,False,5,0.0,True,True,False,151,0,1,3,0,0,1
2934,False,2,False,8,2.0,True,True,False,17,18,5,3,0,0,1
2935,False,1,True,7,1.0,True,True,True,152,0,2,0,0,0,1
2936,False,0,False,4,0.0,True,True,True,1,0,5,2,0,0,1
2937,False,2,False,11,2.0,True,True,True,3,17,1,3,0,0,1
2938,False,7,True,358,8.0,True,False,False,5,0,2,0,1,0,1
