,age_upon_intake,sterilized_upon_intake,age_upon_outcome,sterilized_upon_outcome,is_dog,col2_ec,in_type_ec,in_cond_ec,out_type_ec
8180,9,False,9.0,False,True,0,1,0,3
8181,3,False,3.0,True,True,3,0,0,3
8182,2,False,2.0,True,True,0,0,0,0
8183,4,False,4.0,True,True,3,2,0,1
8184,11,True,11.0,True,False,0,1,1,4
8185,0,False,0.0,True,True,3,0,0,1
8186,3,True,3.0,True,True,1,0,0,4
8187,3,False,4.0,True,True,2,2,7,1
8188,0,False,0.0,True,True,0,0,0,3
8189,1,False,1.0,True,False,0,0,2,1
8190,5,True,5.0,True,True,3,0,0,0
8191,1,False,1.0,False,True,2,0,2,4
8192,0,False,0.0,True,True,4,0,2,1
8193,1,False,0.0,True,True,1,0,0,1
8194,5,False,5.0,True,True,3,0,0,1
8195,2,False,2.0,True,True,0,0,0,1
8196,2,True,2.0,True,True,2,2,0,0
8197,11,True,11.0,True,True,0,0,0,0
8198,1,True,1.0,True,True,3,0,0,0
8199,2,False,2.0,True,True,3,0,0,1
8200,2,True,2.0,True,False,0,0,0,3
8201,3,True,3.0,True,True,2,0,0,0
8202,8,True,8.0,True,True,0,1,2,1
8203,3,False,3.0,True,True,0,0,0,3
8204,5,False,5.0,True,True,3,0,0,3
8205,2,True,2.0,True,True,0,2,0,0
8206,2,True,2.0,True,True,0,0,0,0
8207,1,True,1.0,True,True,0,0,0,1
8208,1,True,1.0,True,True,3,1,0,1
8209,4,True,4.0,True,True,0,0,2,4
8210,1,False,1.0,False,True,3,0,1,3
8211,2,False,2.0,True,False,0,0,0,3
8212,1,False,1.0,True,True,3,0,0,1
8213,1,False,1.0,True,True,3,0,0,1
8214,2,True,2.0,True,False,0,2,0,0
8215,1,True,1.0,True,True,0,2,0,0
8216,2,False,2.0,True,True,3,0,0,3
8217,1,False,1.0,True,True,0,0,0,1
8218,0,False,0.0,True,True,3,0,0,1
8219,1,False,1.0,True,True,2,1,0,3
8220,7,True,7.0,True,True,6,0,0,0
8221,1,True,2.0,True,True,2,0,0,1
8222,7,True,7.0,True,False,0,0,0,1
8223,8,True,8.0,True,True,3,1,0,1
8224,1,True,1.0,True,True,0,0,0,0
8225,1,False,1.0,True,True,0,0,0,1
8226,11,False,11.0,True,True,0,1,0,1
8227,1,False,1.0,False,True,0,0,0,3
8228,0,False,0.0,True,True,3,0,0,1
8229,0,False,0.0,True,True,3,0,0,1
8230,0,False,0.0,True,True,0,0,0,1
8231,2,False,2.0,False,True,0,0,1,3
8232,2,True,2.0,True,True,3,0,0,0
8233,1,False,1.0,True,True,0,0,0,1
8234,3,True,3.0,True,False,0,1,0,3
8235,1,False,1.0,True,True,0,0,0,1
8236,10,True,11.0,True,True,3,1,0,1
8237,1,True,1.0,True,True,3,1,0,1
8238,0,False,0.0,True,True,3,1,0,1
8239,0,False,0.0,True,True,0,0,0,1
8240,2,False,2.0,False,False,2,0,0,3
8241,0,False,1.0,True,True,3,0,2,3
8242,0,False,0.0,True,False,3,1,0,1
8243,1,True,1.0,True,False,0,0,0,3
8244,0,False,0.0,True,True,0,0,0,1
8245,1,False,1.0,True,True,1,0,0,1
8246,2,False,2.0,True,True,0,1,2,1
8247,1,False,1.0,True,True,2,0,0,3
8248,1,False,1.0,False,True,3,2,0,0
8249,2,False,2.0,False,True,0,0,0,0
8250,4,True,4.0,True,True,0,0,0,0
8251,0,False,0.0,True,True,0,0,0,1
8252,4,False,4.0,False,True,3,2,0,0
8253,2,False,3.0,False,True,0,0,2,1
8254,2,True,2.0,True,False,0,1,0,1
8255,2,False,2.0,False,True,0,0,2,0
8256,10,True,10.0,True,True,0,1,0,1
8257,6,True,6.0,True,True,0,1,0,1
8258,0,False,0.0,False,False,0,0,2,2
8259,7,False,7.0,False,True,0,0,0,0
8260,0,False,0.0,True,True,2,0,0,1
8261,1,True,1.0,True,True,3,1,0,1
8262,1,True,1.0,True,False,0,0,0,1
8263,1,False,1.0,True,True,0,1,0,1
8264,2,True,2.0,True,True,0,1,0,0
8265,0,False,0.0,True,True,0,1,0,1
8266,2,False,2.0,True,True,3,0,0,1
8267,9,True,9.0,True,True,3,1,0,1
8268,0,False,0.0,True,True,3,0,0,1
8269,3,True,3.0,True,True,2,1,0,1
8270,4,False,4.0,False,True,3,0,0,0
8271,0,False,1.0,True,True,0,0,0,1
8272,8,True,8.0,True,False,0,0,2,3
8273,1,False,1.0,True,True,3,0,0,1
8274,6,False,6.0,False,False,2,0,0,3
8275,8,True,8.0,True,True,4,0,2,0
8276,1,False,1.0,False,True,2,0,0,3
8277,1,False,1.0,True,True,0,0,0,1
8278,0,False,0.0,False,True,0,0,0,0
8279,0,False,0.0,True,True,3,0,0,1
8280,0,False,0.0,False,True,0,0,0,3
8281,0,False,0.0,True,True,3,0,0,1
8282,1,True,1.0,True,True,2,1,0,4
8283,0,False,0.0,True,True,4,0,0,3
8284,0,False,0.0,False,False,0,0,0,3
8285,7,True,7.0,True,True,3,0,0,0
8286,0,False,0.0,True,True,2,1,0,1
8287,1,True,1.0,True,True,3,1,0,1
8288,0,False,0.0,False,True,0,0,0,3
8289,8,True,8.0,True,True,0,0,0,3
8290,5,True,5.0,True,True,2,0,0,0
8291,7,False,7.0,False,False,3,0,0,3
8292,1,True,1.0,True,False,0,0,0,1
8293,0,False,0.0,True,False,0,0,0,1
8294,3,False,3.0,True,True,0,1,0,1
8295,5,True,5.0,True,True,3,0,0,1
8296,0,False,0.0,False,True,3,0,0,0
8297,0,False,0.0,True,False,0,2,2,1
8298,0,False,0.0,False,True,3,0,0,0
8299,5,True,5.0,True,False,0,1,0,1
8300,1,False,1.0,False,False,0,1,0,1
8301,1,False,1.0,True,True,0,0,0,1
8302,3,True,3.0,True,True,3,0,0,1
8303,8,True,8.0,True,True,3,0,0,1
8304,1,False,1.0,False,True,2,0,0,0
8305,9,True,9.0,True,True,0,1,0,1
8306,10,True,10.0,True,False,2,1,0,1
